player_id,condition,stat,n,raw_over,own_base,shrunk_over,edge_pp,career_games,name,role,team,last_season,flag
00-0035208,division_rematch,rec_yards,10,0.9,0.355,0.511,15.6,62,O.Zaccheaus,WR,CHI,2025,True
00-0034960,division_rematch,rec_yards,10,0.9,0.394,0.539,14.4,71,J.Meyers,WR,JAX,2025,True
00-0036407,dome,rec_yards,15,0.867,0.507,0.642,13.5,73,J.Jeudy,WR,CLE,2025,True
00-0033858,fast_ref_crew,receptions,15,0.733,0.375,0.509,13.4,72,J.Smith,TE,PIT,2025,True
00-0031236,big_favorite,td_any,10,0.8,0.338,0.47,13.2,65,B.Cooks,WR,BUF,2025,True
00-0036894,cold<=32,receptions,8,1.0,0.475,0.602,12.7,59,P.Freiermuth,TE,PIT,2025,True
00-0035250,grass,receptions,22,0.682,0.412,0.539,12.6,80,D.Singletary,RB,NYG,2025,True
00-0031376,late_season,td_any,11,0.727,0.316,0.442,12.6,38,J.McKinnon,RB,KC,2023,True
00-0033858,fast_ref_crew,rec_yards,15,0.733,0.403,0.527,12.4,72,J.Smith,TE,PIT,2025,True
00-0036252,grass,receptions,23,0.696,0.442,0.563,12.2,77,M.Pittman,WR,IND,2025,True
00-0037805,fast_ref_crew,receptions,7,1.0,0.444,0.566,12.2,27,J.Ruckert,TE,NYJ,2025,True
00-0031687,big_favorite,td_any,11,0.727,0.333,0.454,12.0,48,R.Mostert,RB,LV,2025,True
00-0033943,division_rematch,receptions,11,0.818,0.429,0.548,11.9,49,J.Reynolds,WR,NYJ,2025,True
00-0033045,big_favorite,td_any,16,0.688,0.391,0.506,11.6,64,E.Elliott,RB,DAL,2024,True
00-0033699,turf,td_any,33,0.758,0.556,0.67,11.5,54,A.Ekeler,RB,WAS,2025,True
00-0036244,grass,receptions,14,0.786,0.468,0.582,11.4,47,C.Parkinson,TE,LA,2025,True
00-0031549,dome,receptions,18,0.667,0.397,0.51,11.3,58,N.Agholor,WR,BAL,2024,True
00-0035710,slow_ref_crew,pass_yards,13,0.769,0.442,0.554,11.2,52,D.Jones,QB,IND,2025,True
00-0031868,primetime,rec_yards,7,0.857,0.357,0.467,10.9,28,D.Byrd,WR,ATL,2023,True
00-0039064,slow_ref_crew,rec_yards,15,0.8,0.512,0.62,10.8,41,Z.Flowers,WR,BAL,2025,True
00-0038543,home,td_any,19,0.632,0.381,0.489,10.8,42,J.Smith-Njigba,WR,SEA,2025,True
00-0031549,dome,rec_yards,18,0.722,0.466,0.573,10.7,58,N.Agholor,WR,BAL,2024,True
00-0036997,primetime,td_any,17,0.647,0.382,0.489,10.7,55,J.Williams,RB,DAL,2025,True
00-0037263,backup_qb,receptions,14,0.714,0.418,0.524,10.6,55,T.Allgeier,RB,ATL,2025,True
00-0036894,cold<=32,rec_yards,8,0.875,0.441,0.546,10.5,59,P.Freiermuth,TE,PIT,2025,True
00-0036158,dome,receptions,9,0.778,0.382,0.487,10.5,34,J.Dobbins,RB,DEN,2025,True
00-0036345,late_season,td_any,14,0.571,0.279,0.384,10.5,43,K.Osborn,WR,NE,2024,True
00-0031588,grass,receptions,21,0.667,0.438,0.543,10.4,73,S.Diggs,WR,NE,2025,True
00-0035537,cold<=32,rush_yards,6,1.0,0.466,0.569,10.3,58,Ty.Johnson,RB,BUF,2025,True
00-0034837,turf,rec_yards,18,0.722,0.478,0.58,10.2,46,C.Ridley,WR,TEN,2025,True
00-0033885,division_rematch,receptions,11,0.818,0.483,0.586,10.2,60,D.Njoku,TE,CLE,2025,True
00-0033110,late_season,rec_yards,16,0.75,0.491,0.592,10.1,55,T.Higbee,TE,LA,2025,True
00-0039384,grass,rush_yards,7,1.0,0.538,0.639,10.1,26,T.Tracy,RB,NYG,2025,True
00-0033357,backup_qb,pass_yards,19,0.579,0.348,0.448,10.0,46,T.Hill,QB,NO,2025,True
00-0031595,dome,receptions,7,0.857,0.4,0.5,10.0,25,M.Burton,RB,DEN,2024,True
00-0034844,primetime,receptions,11,0.727,0.4,0.5,10.0,60,S.Barkley,RB,PHI,2025,True
00-0033854,big_underdog,receptions,12,0.833,0.525,0.625,10.0,40,D.Ogunbowale,RB,HOU,2025,True
00-0036223,slow_ref_crew,receptions,20,0.65,0.424,0.525,10.0,66,J.Taylor,RB,IND,2025,True
00-0031547,backup_qb,rec_yards,12,0.75,0.444,0.544,9.9,36,D.Parker,WR,NE,2023,True
00-0032764,short_week,receptions,8,0.875,0.466,0.565,9.9,73,D.Henry,RB,BAL,2025,True
00-0035685,big_underdog,receptions,15,0.8,0.535,0.635,9.9,71,D.Montgomery,RB,DET,2025,True
00-0036849,backup_qb,receptions,7,0.857,0.405,0.504,9.9,37,T.Atwell,WR,LA,2025,True
00-0035659,post_bye,receptions,6,1.0,0.493,0.591,9.8,75,T.McLaurin,WR,WAS,2025,True
00-0035659,big_favorite,receptions,6,1.0,0.493,0.591,9.8,75,T.McLaurin,WR,WAS,2025,True
00-0034159,slow_ref_crew,receptions,12,0.75,0.448,0.546,9.8,58,W.Dissly,TE,LAC,2025,True
00-0036554,slow_ref_crew,td_any,19,0.579,0.353,0.451,9.8,51,N.Collins,WR,HOU,2025,True
00-0032764,late_season,rush_yards,22,0.727,0.521,0.617,9.7,73,D.Henry,RB,BAL,2025,True
00-0030061,primetime,receptions,13,0.846,0.561,0.659,9.7,57,Z.Ertz,TE,WAS,2025,True
00-0034972,division_rematch,receptions,13,0.692,0.41,0.506,9.7,61,A.Mattison,RB,LV,2024,True
00-0031544,primetime,td_any,10,0.7,0.361,0.458,9.7,61,A.Cooper,WR,BUF,2024,True
00-0033757,big_favorite,td_any,11,0.545,0.231,0.327,9.6,39,R.Tonyan,TE,KC,2025,True
00-0035243,big_favorite,td_any,12,0.5,0.204,0.3,9.6,54,M.Sanders,RB,DAL,2025,True
00-0035700,big_favorite,td_any,11,0.909,0.595,0.691,9.6,74,J.Jacobs,RB,GB,2025,True
00-0035216,turf,rec_yards,12,0.75,0.456,0.551,9.5,57,D.Johnson,WR,HOU,2024,True
00-0034279,dome,receptions,7,0.857,0.423,0.518,9.5,26,E.St. Brown,WR,CHI,2023,True
00-0033090,backup_qb,receptions,12,0.833,0.541,0.636,9.5,74,H.Henry,TE,NE,2025,True
00-0038589,late_season,receptions,7,0.857,0.421,0.516,9.5,19,J.Whyle,TE,GB,2025,True
00-0035208,late_season,rec_yards,17,0.588,0.355,0.449,9.4,62,O.Zaccheaus,WR,CHI,2025,True
00-0033307,dome,receptions,20,0.65,0.438,0.532,9.4,64,K.Bourne,WR,SF,2025,True
00-0033891,late_season,receptions,19,0.684,0.467,0.561,9.4,45,Z.Jones,WR,ARI,2025,True
00-0034869,backup_qb,pass_yards,9,0.889,0.536,0.629,9.3,56,S.Darnold,QB,SEA,2025,True
00-0031273,primetime,receptions,6,1.0,0.517,0.611,9.3,29,C.Brate,TE,TB,2022,True
00-0039065,primetime,receptions,13,0.846,0.576,0.668,9.3,33,S.LaPorta,TE,DET,2025,True
00-0030061,home,receptions,27,0.741,0.561,0.655,9.3,57,Z.Ertz,TE,WAS,2025,True
00-0033466,road,receptions,21,0.571,0.368,0.461,9.3,38,I.McKenzie,WR,IND,2023,True
00-0031868,fast_ref_crew,rec_yards,6,0.833,0.357,0.449,9.2,28,D.Byrd,WR,ATL,2023,True
00-0033280,turf,rush_yards,10,0.8,0.478,0.57,9.2,46,C.McCaffrey,RB,SF,2025,True
00-0032775,turf,td_any,32,0.406,0.242,0.334,9.2,66,D.Robinson,WR,SF,2025,True
00-0036261,road,td_any,26,0.538,0.358,0.45,9.2,53,B.Aiyuk,WR,SF,2024,True
00-0038559,late_season,td_any,13,0.538,0.27,0.362,9.2,37,M.Wilson,WR,ARI,2025,True
00-0039064,late_season,td_any,13,0.538,0.268,0.361,9.2,41,Z.Flowers,WR,BAL,2025,True
00-0035216,fast_ref_crew,td_any,12,0.583,0.298,0.391,9.2,57,D.Johnson,WR,HOU,2024,True
00-0035644,division_rematch,rec_yards,11,0.727,0.429,0.52,9.1,70,N.Fant,TE,CIN,2025,True
00-0038794,big_favorite,rush_yards,8,0.875,0.5,0.591,9.1,32,J.McLaughlin,RB,DEN,2025,True
00-0035644,division_rematch,receptions,11,0.727,0.429,0.52,9.1,70,N.Fant,TE,CIN,2025,True
00-0036251,division_rematch,receptions,9,0.778,0.435,0.526,9.1,46,Z.Moss,RB,CIN,2024,True
00-0033090,fast_ref_crew,receptions,17,0.765,0.541,0.631,9.1,74,H.Henry,TE,NE,2025,True
00-0038120,fast_ref_crew,receptions,9,0.889,0.545,0.636,9.1,44,B.Hall,RB,NYJ,2025,True
00-0034348,after_100yd_game,td_any,6,0.833,0.364,0.455,9.1,66,C.Sutton,WR,DEN,2025,True
00-0030035,big_underdog,rec_yards,15,0.667,0.426,0.517,9.0,68,A.Thielen,WR,PIT,2025,True
00-0037805,fast_ref_crew,rec_yards,7,0.857,0.444,0.535,9.0,27,J.Ruckert,TE,NYJ,2025,True
00-0033375,turf,receptions,15,0.667,0.426,0.516,9.0,47,T.Patrick,WR,JAX,2025,True
00-0036628,primetime,receptions,7,0.857,0.447,0.537,9.0,38,J.Bates,TE,WAS,2025,True
00-0036252,road,receptions,39,0.59,0.442,0.532,9.0,77,M.Pittman,WR,IND,2025,True
00-0031547,backup_qb,receptions,12,0.667,0.389,0.479,9.0,36,D.Parker,WR,NE,2023,True
00-0033288,fast_ref_crew,td_any,15,0.667,0.426,0.516,9.0,61,G.Kittle,TE,SF,2025,True
00-0033439,home,rec_yards,12,0.583,0.31,0.399,8.9,29,P.Brown,TE,ARI,2025,True
00-0029000,grass,receptions,11,0.636,0.346,0.435,8.9,26,C.Beasley,WR,BUF,2022,True
00-0030506,turf,td_any,19,0.579,0.372,0.461,8.9,78,T.Kelce,TE,KC,2025,True
00-0034681,primetime,td_any,7,0.571,0.167,0.255,8.9,42,C.Edmonds,RB,TB,2023,True
00-0030564,fast_ref_crew,td_any,19,0.474,0.269,0.357,8.9,67,D.Hopkins,WR,BAL,2025,True
00-0031585,turf,rec_yards,12,0.75,0.48,0.568,8.8,25,M.Pruitt,TE,PIT,2024,True
00-0031273,primetime,rec_yards,6,0.833,0.379,0.467,8.8,29,C.Brate,TE,TB,2022,True
00-0036233,division_rematch,rec_yards,8,0.875,0.514,0.601,8.8,37,D.Peoples-Jones,WR,DET,2023,True
00-0033857,late_season,rec_yards,20,0.55,0.351,0.439,8.8,57,J.Smith-Schuster,WR,KC,2025,True
00-0036425,dome,rush_yards,8,0.75,0.387,0.475,8.8,31,D.Dallas,RB,JAX,2025,True
00-0039738,day_game,rush_yards,16,0.625,0.4,0.488,8.8,25,B.Corum,RB,LA,2025,True
00-0035662,big_favorite,receptions,14,0.571,0.328,0.415,8.8,58,M.Brown,WR,KC,2025,True
00-0037666,grass,td_any,13,0.538,0.281,0.369,8.8,32,J.Tolbert,WR,DAL,2025,True
00-0030506,after_100yd_game,td_any,17,0.588,0.372,0.459,8.8,78,T.Kelce,TE,KC,2025,True
00-0035261,slow_ref_crew,td_any,24,0.458,0.278,0.367,8.8,79,T.Pollard,RB,TEN,2025,True
00-0039916,late_season,rec_yards,7,0.857,0.462,0.548,8.7,13,R.Pearsall,WR,SF,2025,True
00-0037809,fast_ref_crew,rec_yards,12,0.833,0.566,0.653,8.7,53,C.Okonkwo,TE,TEN,2025,True
00-0036259,dome,rec_yards,7,0.857,0.464,0.55,8.6,56,J.Jennings,WR,SF,2025,True
00-0036244,grass,rec_yards,14,0.643,0.404,0.49,8.6,47,C.Parkinson,TE,LA,2025,True
00-0035208,backup_qb,rec_yards,11,0.636,0.355,0.441,8.6,62,O.Zaccheaus,WR,CHI,2025,True
00-0027061,late_season,rec_yards,8,0.875,0.52,0.606,8.6,25,J.Cook,TE,LAC,2021,True
00-0035250,wind15+,rush_yards,10,0.8,0.5,0.586,8.6,80,D.Singletary,RB,NYG,2025,True
00-0034827,cold<=32,receptions,7,0.857,0.463,0.55,8.6,82,D.Moore,WR,CHI,2025,True
00-0037840,division_rematch,receptions,6,0.833,0.39,0.476,8.6,41,K.Williams,RB,LA,2025,True
00-0036290,slow_ref_crew,receptions,22,0.591,0.408,0.494,8.6,76,C.Kmet,TE,CHI,2025,True
00-0035640,after_100yd_game,td_any,15,0.6,0.372,0.457,8.6,78,D.Metcalf,WR,PIT,2025,True
00-0038122,turf,pass_yards,7,0.857,0.467,0.552,8.5,15,D.Ridder,QB,LV,2024,True
00-0038122,home,pass_yards,7,0.857,0.467,0.552,8.5,15,D.Ridder,QB,LV,2024,True
00-0031588,grass,rec_yards,21,0.667,0.479,0.565,8.5,73,S.Diggs,WR,NE,2025,True
00-0035215,grass,rec_yards,8,0.75,0.4,0.485,8.5,25,D.Harty,WR,BUF,2023,True
