pid,stad,size,sum,own_base,shrunk,edge_pp,stat,name,role,team,last_season
00-0038122,Mercedes-Benz Stadium,5,5,0.4666666666666667,0.5733333333333334,10.7,pass_yards,D.Ridder,QB,LV,2024
00-0031235,M&T Bank Stadium,7,6,0.45161290322580644,0.5567502986857825,10.5,rec_yards,O.Beckham,WR,MIA,2024
00-0037013,MetLife Stadium,14,10,0.46153846153846156,0.5656108597285069,10.4,pass_yards,Z.Wilson,QB,MIA,2025
00-0033246,TIAA Bank Stadium,5,5,0.5,0.6,10.0,rec_yards,J.Mundt,TE,JAX,2025
00-0036158,M&T Bank Stadium,8,7,0.5294117647058824,0.6281512605042016,9.9,rush_yards,J.Dobbins,RB,DEN,2025
00-0035537,New Era Field,16,11,0.46551724137931033,0.564176245210728,9.9,rush_yards,Ty.Johnson,RB,BUF,2025
00-0036275,U.S. Bank Stadium,4,4,0.4225352112676056,0.5187793427230046,9.6,rush_yards,D.Swift,RB,CHI,2025
00-0031408,Raymond James Stadium,32,19,0.4411764705882353,0.5350678733031674,9.4,rec_yards,M.Evans,WR,TB,2025
00-0034829,Paycor Stadium,12,9,0.5,0.59375,9.4,rec_yards,M.Gesicki,TE,CIN,2025
00-0033439,NRG Stadium,8,5,0.3103448275862069,0.40024630541871925,9.0,rec_yards,P.Brown,TE,ARI,2025
00-0034646,U.S. Bank Stadium,8,6,0.4411764705882353,0.5294117647058824,8.8,rec_yards,B.Powell,WR,MIN,2024
00-0038124,Ford Field,4,4,0.4857142857142857,0.5714285714285714,8.6,rec_yards,C.Watson,WR,GB,2025
00-0032134,MetLife Stadium,9,7,0.5,0.5862068965517241,8.6,rec_yards,C.Uzomah,TE,NYJ,2023
00-0036971,Nissan Stadium,4,4,0.4838709677419355,0.5698924731182796,8.6,pass_yards,T.Lawrence,QB,JAX,2025
00-0030513,Empower Field at Mile High,6,5,0.4666666666666667,0.5512820512820513,8.5,rush_yards,L.Murray,RB,BUF,2023
00-0036971,TIAA Bank Stadium,27,17,0.4838709677419355,0.5676046671242279,8.4,pass_yards,T.Lawrence,QB,JAX,2025
00-0032211,State Farm Stadium,7,5,0.3950617283950617,0.4778235025148605,8.3,rec_yards,T.Lockett,WR,LV,2025
00-0033858,Gillette Stadium,11,7,0.4027777777777778,0.48566308243727596,8.3,rec_yards,J.Smith,TE,PIT,2025
00-0035700,Empower Field at Mile High,4,4,0.5,0.5833333333333334,8.3,rush_yards,J.Jacobs,RB,GB,2025
00-0036999,FirstEnergy Stadium,4,4,0.5,0.5833333333333334,8.3,rec_yards,A.Schwartz,WR,CLE,2022
00-0036355,Allegiant Stadium,4,4,0.5064935064935064,0.5887445887445887,8.2,pass_yards,J.Herbert,QB,LAC,2025
00-0037256,Bank of America Stadium,4,4,0.5094339622641509,0.5911949685534591,8.2,rush_yards,R.White,RB,TB,2025
00-0030061,State Farm Stadium,12,8,0.45614035087719296,0.5350877192982456,7.9,rec_yards,Z.Ertz,TE,WAS,2025
00-0036997,AT&T Stadium,8,6,0.4727272727272727,0.551948051948052,7.9,rush_yards,J.Williams,RB,DAL,2025
